engine,period,weeks,profile,relapsed,final
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Karim,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,True,
Fixed 12%/wk @7d,7,14,Karim,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Ana,False,3.795812342461587
Wane 12%/wk @7d,7,14,Marta,False,3.6462365279722704
Wane 12%/wk @7d,7,14,Marta,False,3.65142919200826
Wane 12%/wk @7d,7,14,Marta,False,4.303271464999713
Wane 12%/wk @7d,7,14,Marta,False,3.641923932843361
Wane 12%/wk @7d,7,14,Marta,False,3.9677962470643826
Wane 12%/wk @7d,7,14,Marta,False,4.1114922160831116
Wane 12%/wk @7d,7,14,Marta,False,4.458448210962865
Wane 12%/wk @7d,7,14,Marta,False,4.725052457614421
Wane 12%/wk @7d,7,14,Marta,False,4.41325719587458
Wane 12%/wk @7d,7,14,Marta,False,4.639029930414471
Wane 12%/wk @7d,7,14,Marta,False,4.659359885651321
Wane 12%/wk @7d,7,14,Marta,False,3.935956590096115
Wane 12%/wk @7d,7,14,Marta,False,4.112595856403813
Wane 12%/wk @7d,7,14,Marta,False,3.926365851787733
Wane 12%/wk @7d,7,14,Marta,False,3.9037787924943776
Wane 12%/wk @7d,7,14,Marta,False,3.6120907191958915
Wane 12%/wk @7d,7,14,Marta,False,3.8855140523957887
Wane 12%/wk @7d,7,14,Marta,False,3.6955991047087484
Wane 12%/wk @7d,7,14,Marta,False,4.366715875469523
Wane 12%/wk @7d,7,14,Marta,False,3.836663358091218
Wane 12%/wk @7d,7,14,Marta,False,4.80484306967724
Wane 12%/wk @7d,7,14,Marta,False,3.303773044735171
Wane 12%/wk @7d,7,14,Marta,False,3.59126224806825
Wane 12%/wk @7d,7,14,Marta,False,4.1542567422762104
Wane 12%/wk @7d,7,14,Marta,False,3.410445607253713
Wane 12%/wk @7d,7,14,Marta,True,
Wane 12%/wk @7d,7,14,Marta,False,4.768589814672887
Wane 12%/wk @7d,7,14,Marta,False,4.399032897788724
Wane 12%/wk @7d,7,14,Marta,False,4.343294749822396
Wane 12%/wk @7d,7,14,Marta,False,4.372176290941243
Wane 12%/wk @7d,7,14,Marta,False,4.9911923154642
Wane 12%/wk @7d,7,14,Marta,False,4.571304115486132
Wane 12%/wk @7d,7,14,Marta,False,5.306107993649789
Wane 12%/wk @7d,7,14,Marta,False,4.175175248823401
Wane 12%/wk @7d,7,14,Marta,False,3.9278303176268765
Wane 12%/wk @7d,7,14,Marta,False,3.732165636179753
Wane 12%/wk @7d,7,14,Marta,False,4.262489805776875
Wane 12%/wk @7d,7,14,Marta,False,4.811053212068533
Wane 12%/wk @7d,7,14,Marta,False,4.031985350983086
Wane 12%/wk @7d,7,14,Marta,False,3.192201982380667
Wane 12%/wk @7d,7,14,Marta,False,4.216412569370981
Wane 12%/wk @7d,7,14,Marta,False,5.318324298123465
Wane 12%/wk @7d,7,14,Marta,False,4.379365604057931
Wane 12%/wk @7d,7,14,Marta,False,3.5952824310353333
Wane 12%/wk @7d,7,14,Marta,False,4.089718214397605
Wane 12%/wk @7d,7,14,Marta,True,
Wane 12%/wk @7d,7,14,Marta,False,4.075915976147403
Wane 12%/wk @7d,7,14,Marta,True,
Wane 12%/wk @7d,7,14,Marta,False,3.9729097110631666
Wane 12%/wk @7d,7,14,Marta,False,3.6790755136494235
Wane 12%/wk @7d,7,14,Marta,False,3.4168050304378723
Wane 12%/wk @7d,7,14,Marta,False,2.864586815120013
Wane 12%/wk @7d,7,14,Marta,False,4.911310231417441
Wane 12%/wk @7d,7,14,Marta,False,4.2925494491404175
Wane 12%/wk @7d,7,14,Marta,False,3.9022643381732127
Wane 12%/wk @7d,7,14,Marta,False,4.0254838817201435
Wane 12%/wk @7d,7,14,Marta,False,5.016320844319772
Wane 12%/wk @7d,7,14,Marta,False,3.6706683459958622
Wane 12%/wk @7d,7,14,Marta,False,4.624611435902772
Wane 12%/wk @7d,7,14,Marta,False,4.424149439352629
Wane 12%/wk @7d,7,14,Diego,False,4.942488383728772
Wane 12%/wk @7d,7,14,Diego,False,4.542156887384992
Wane 12%/wk @7d,7,14,Diego,False,4.424074573826569
Wane 12%/wk @7d,7,14,Diego,False,4.736245028544421
Wane 12%/wk @7d,7,14,Diego,False,4.290565769703705
Wane 12%/wk @7d,7,14,Diego,False,3.9271698129888644
Wane 12%/wk @7d,7,14,Diego,True,
Wane 12%/wk @7d,7,14,Diego,False,4.413672958925099
Wane 12%/wk @7d,7,14,Diego,False,4.9417679368728
Wane 12%/wk @7d,7,14,Diego,False,6.748099425674339
Wane 12%/wk @7d,7,14,Diego,False,3.6202517466657316
Wane 12%/wk @7d,7,14,Diego,False,5.856432089822487
Wane 12%/wk @7d,7,14,Diego,False,4.104427791995204
Wane 12%/wk @7d,7,14,Diego,False,4.424221924195411
Wane 12%/wk @7d,7,14,Diego,False,3.7398786270098965
Wane 12%/wk @7d,7,14,Diego,False,3.434052626618202
Wane 12%/wk @7d,7,14,Diego,False,5.448478863106362
Wane 12%/wk @7d,7,14,Diego,False,5.5414068022584
Wane 12%/wk @7d,7,14,Diego,False,4.335369748675041
Wane 12%/wk @7d,7,14,Diego,False,5.2338389708259525
Wane 12%/wk @7d,7,14,Diego,False,4.685994946465341
Wane 12%/wk @7d,7,14,Diego,False,4.771772254965283
Wane 12%/wk @7d,7,14,Diego,False,5.782302591007758
Wane 12%/wk @7d,7,14,Diego,False,3.6040269524052198
Wane 12%/wk @7d,7,14,Diego,False,4.527609882500357
Wane 12%/wk @7d,7,14,Diego,True,
Wane 12%/wk @7d,7,14,Diego,False,5.442950298406598
Wane 12%/wk @7d,7,14,Diego,False,6.221007448847444
Wane 12%/wk @7d,7,14,Diego,False,4.0921817146686434
Wane 12%/wk @7d,7,14,Diego,True,
Wane 12%/wk @7d,7,14,Diego,False,4.739223155202352
